propeller static (zero wind speed) performance 

                       18x55MR.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.241         0.004         0.239        0.0249        0.0720       0.619
       2000         0.967         0.028         0.877        0.0229        0.0723       0.678
       3000         2.185         0.090         1.899        0.0220        0.0726       0.709
       4000         3.904         0.210         3.306        0.0216        0.0729       0.729
       5000         6.139         0.405         5.110        0.0213        0.0734       0.744
       6000         8.911         0.698         7.329        0.0212        0.0740       0.756
       7000        12.247         1.109         9.990        0.0213        0.0747       0.766
       8000        16.183         1.667        13.131        0.0214        0.0756       0.775
       9000        20.770         2.400        16.808        0.0217        0.0766       0.782
      10000        26.077         3.348        21.101        0.0220        0.0779       0.789
      11000        32.202         4.566        26.162        0.0226        0.0796       0.794
      12000        39.290         6.263        32.898        0.0238        0.0816       0.780
      13000        47.327         9.064        43.947        0.0271        0.0837       0.712

RPM at 17 N	Power at 17 N (W)	Torque at 17 N (Nm)	Efficiency at 17 N (N/W)	RPM at 8 N	Power at 8 N (W)	Torque at 8 N (Nm)	Efficiency at 8 N (N/W)
3952	    152.32	            0.366	            0.112518	                2756	    55.85	            0.1865	            0.159722
