Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
27x13E,2245,32,275.755,1.0898,0.02548,0.08115,0.72489,0.127955,1351,12.5,76.747,0.4399,0.02657,0.08068,0.68849,0.219034
26x13E,2388,32,287.831,1.0643,0.02641,0.08303,0.72292,0.123908,1445,12.5,78.812,0.4298,0.02754,0.08258,0.68734,0.20983
26x15E,2291,32,292.802,1.1292,0.03053,0.09037,0.71112,0.121208,1381,12.5,81.019,0.455,0.03181,0.08995,0.67775,0.206553
25x125E,2577,32,296.1,1.0273,0.02675,0.08385,0.72384,0.118969,1569,12.5,79.897,0.4151,0.02788,0.08333,0.68886,0.198171
24x12E,2831,32,300.731,0.9852,0.02652,0.0834,0.72478,0.111595,1735,12.5,79.952,0.3984,0.02758,0.08279,0.69076,0.183265
22x12WE,3071,32,325.351,0.9956,0.03548,0.10145,0.72593,0.100335,1912,12.5,83.308,0.4015,0.0365,0.10076,0.69893,0.159958
22x10E,3473,32,328.973,0.8703,0.02396,0.07818,0.72751,0.102824,2170,12.5,85.617,0.353,0.02476,0.07757,0.69576,0.15763
22x8,3843,32,329.995,0.8069,0.01836,0.06461,0.71391,0.099248,2377,12.5,89.248,0.3328,0.01932,0.06385,0.66646,0.154893
22x10,3565,32,332.233,0.8588,0.02252,0.0743,0.718,0.101241,2222,12.5,88.06,0.353,0.02358,0.07359,0.67622,0.154682
215x10WPN,3461,32,333.014,0.8837,0.02737,0.08602,0.73468,0.101444,2164,12.5,86.847,0.3619,0.02852,0.0852,0.69574,0.1552
22x12E,3279,32,333.311,0.9354,0.02892,0.08787,0.71819,0.101039,2062,12.5,84.286,0.3787,0.02984,0.08732,0.69055,0.15399
215x105PN,3458,32,333.701,0.8866,0.02752,0.08612,0.73262,0.101272,2162,12.5,87.358,0.3628,0.02862,0.08538,0.69452,0.153888
22x13EPN,3247,32,334.748,0.9506,0.03003,0.08975,0.71395,0.100328,2044,12.5,84.504,0.385,0.03096,0.08912,0.68706,0.152068
21x10PN,3564,32,339.923,0.8791,0.02907,0.0895,0.73585,0.099108,2221,12.5,89.301,0.3592,0.03023,0.08871,0.69751,0.152836
21x105PN,3596,32,341.233,0.8761,0.0285,0.08802,0.73151,0.098532,2238,12.5,90.176,0.3581,0.02971,0.08722,0.6931,0.151489
21x10W,3519,32,342.91,0.8964,0.03039,0.09176,0.73038,0.098402,2196,12.5,90.082,0.3657,0.03157,0.091,0.69426,0.150565
205x10PN,3753,32,346.771,0.862,0.02915,0.08953,0.73282,0.095532,2325,12.5,92.681,0.3518,0.03041,0.08866,0.69404,0.148984
215x13EPN,3338,32,346.979,0.955,0.03196,0.0929,0.70673,0.097409,2094,12.5,88.609,0.3861,0.03292,0.09225,0.68025,0.148547
205x105PN,3687,32,348.044,0.8766,0.03066,0.09248,0.73244,0.09587,2288,12.5,92.258,0.3576,0.03193,0.09164,0.69451,0.149467
21x12WE,3426,32,348.657,0.9343,0.03333,0.09676,0.7204,0.097158,2143,12.5,89.817,0.3772,0.03427,0.09607,0.69343,0.149222
205x105WPN,3574,32,348.771,0.8989,0.03331,0.0981,0.73491,0.096524,2226,12.5,91.367,0.3662,0.03461,0.09724,0.69922,0.149847
20x10PN,3923,32,351.553,0.8492,0.02995,0.09125,0.73339,0.092163,2418,12.5,94.335,0.3462,0.03126,0.09041,0.69423,0.14713
21x13WE,3354,32,353.452,0.9669,0.03606,0.10101,0.71096,0.095714,2102,12.5,90.112,0.3901,0.03701,0.10044,0.68536,0.14669
20x105PN,3955,32,353.927,0.8504,0.02953,0.08988,0.72802,0.091091,2436,12.5,95.267,0.3468,0.03083,0.08912,0.68782,0.144882
20x10W,3818,32,355.357,0.8736,0.03241,0.09577,0.73035,0.092582,2360,12.5,94.635,0.3555,0.03367,0.09488,0.69289,0.146519
20x8W,4132,32,355.359,0.8093,0.02567,0.08201,0.73012,0.091716,2558,12.5,94.925,0.331,0.02683,0.08108,0.68764,0.144098
