# Interpolated propeller performance at 32 N (required) and 12 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@32N  Thrust@32N (N)  Power@32N (W)  Torque@32N (Nm)     Cp@32N     Ct@32N    FOM@32N  Eff@32N (N/W)  RPM@12N  Thrust@12N (N)  Power@12N (W)  Torque@12N (Nm)     Cp@12N     Ct@12N    FOM@12N  Eff@12N (N/W)
        27x13E     2245              32       275.7550           1.0898     0.0255     0.0811     0.7249         0.1280     1351         12.5000        76.7470           0.4399     0.0266     0.0807     0.6885         0.2190
        26x13E     2388              32       287.8310           1.0643     0.0264     0.0830     0.7229         0.1239     1445         12.5000        78.8120           0.4298     0.0275     0.0826     0.6873         0.2098
        26x15E     2291              32       292.8020           1.1292     0.0305     0.0904     0.7111         0.1212     1381         12.5000        81.0190           0.4550     0.0318     0.0900     0.6777         0.2066
       25x125E     2577              32       296.1000           1.0273     0.0267     0.0838     0.7238         0.1190     1569         12.5000        79.8970           0.4151     0.0279     0.0833     0.6889         0.1982
        24x12E     2831              32       300.7310           0.9852     0.0265     0.0834     0.7248         0.1116     1735         12.5000        79.9520           0.3984     0.0276     0.0828     0.6908         0.1833
       22x12WE     3071              32       325.3510           0.9956     0.0355     0.1014     0.7259         0.1003     1912         12.5000        83.3080           0.4015     0.0365     0.1008     0.6989         0.1600
        22x10E     3473              32       328.9730           0.8703     0.0240     0.0782     0.7275         0.1028     2170         12.5000        85.6170           0.3530     0.0248     0.0776     0.6958         0.1576
          22x8     3843              32       329.9950           0.8069     0.0184     0.0646     0.7139         0.0992     2377         12.5000        89.2480           0.3328     0.0193     0.0639     0.6665         0.1549
         22x10     3565              32       332.2330           0.8588     0.0225     0.0743     0.7180         0.1012     2222         12.5000        88.0600           0.3530     0.0236     0.0736     0.6762         0.1547
     215x10WPN     3461              32       333.0140           0.8837     0.0274     0.0860     0.7347         0.1014     2164         12.5000        86.8470           0.3619     0.0285     0.0852     0.6957         0.1552
        22x12E     3279              32       333.3110           0.9354     0.0289     0.0879     0.7182         0.1010     2062         12.5000        84.2860           0.3787     0.0298     0.0873     0.6905         0.1540
     215x105PN     3458              32       333.7010           0.8866     0.0275     0.0861     0.7326         0.1013     2162         12.5000        87.3580           0.3628     0.0286     0.0854     0.6945         0.1539
      22x13EPN     3247              32       334.7480           0.9506     0.0300     0.0897     0.7139         0.1003     2044         12.5000        84.5040           0.3850     0.0310     0.0891     0.6871         0.1521
       21x10PN     3564              32       339.9230           0.8791     0.0291     0.0895     0.7359         0.0991     2221         12.5000        89.3010           0.3592     0.0302     0.0887     0.6975         0.1528
      21x105PN     3596              32       341.2330           0.8761     0.0285     0.0880     0.7315         0.0985     2238         12.5000        90.1760           0.3581     0.0297     0.0872     0.6931         0.1515
        21x10W     3519              32       342.9100           0.8964     0.0304     0.0918     0.7304         0.0984     2196         12.5000        90.0820           0.3657     0.0316     0.0910     0.6943         0.1506
      205x10PN     3753              32       346.7710           0.8620     0.0291     0.0895     0.7328         0.0955     2325         12.5000        92.6810           0.3518     0.0304     0.0887     0.6940         0.1490
     215x13EPN     3338              32       346.9790           0.9550     0.0320     0.0929     0.7067         0.0974     2094         12.5000        88.6090           0.3861     0.0329     0.0922     0.6803         0.1485
     205x105PN     3687              32       348.0440           0.8766     0.0307     0.0925     0.7324         0.0959     2288         12.5000        92.2580           0.3576     0.0319     0.0916     0.6945         0.1495
       21x12WE     3426              32       348.6570           0.9343     0.0333     0.0968     0.7204         0.0972     2143         12.5000        89.8170           0.3772     0.0343     0.0961     0.6934         0.1492
    205x105WPN     3574              32       348.7710           0.8989     0.0333     0.0981     0.7349         0.0965     2226         12.5000        91.3670           0.3662     0.0346     0.0972     0.6992         0.1498
       20x10PN     3923              32       351.5530           0.8492     0.0300     0.0912     0.7334         0.0922     2418         12.5000        94.3350           0.3462     0.0313     0.0904     0.6942         0.1471
       21x13WE     3354              32       353.4520           0.9669     0.0361     0.1010     0.7110         0.0957     2102         12.5000        90.1120           0.3901     0.0370     0.1004     0.6854         0.1467
      20x105PN     3955              32       353.9270           0.8504     0.0295     0.0899     0.7280         0.0911     2436         12.5000        95.2670           0.3468     0.0308     0.0891     0.6878         0.1449
        20x10W     3818              32       355.3570           0.8736     0.0324     0.0958     0.7304         0.0926     2360         12.5000        94.6350           0.3555     0.0337     0.0949     0.6929         0.1465
