Propeller,RPM at 17 N,Power at 17 N (W),Torque at 17 N (Nm),Efficiency at 17 N (N/W),RPM at 8 N,Power at 8 N (W),Torque at 8 N (Nm),Efficiency at 8 N (N/W)
27x13E,1596,114.26,0.5915,0.18865,1127,42.56,0.3018,0.246717
26x15E,1636,119.99,0.6124,0.176303,1147,45.51,0.3116,0.234114
26x13E,1723,115.66,0.5785,0.175252,1190,45.24,0.2942,0.241334
28x20-4,1000,107.38,1.0277,0.165865,1000,107.38,1.0277,0.165865
25x125E,1892,115.64,0.5594,0.1583,1273,47.33,0.2837,0.234499
24x12E,2070,120.43,0.5362,0.14723,1385,48.65,0.2717,0.226478
22x10E,2516,133.89,0.4733,0.140119,1755,48.77,0.2415,0.201953
22x12E,2369,136.14,0.5077,0.138963,1633,50.31,0.258,0.208643
22x12WE,2213,134.35,0.5394,0.138494,1503,51.39,0.2729,0.213302
215x10WPN,2507,136.08,0.4833,0.138046,1748,49.7,0.2487,0.194654
22x13EPN,2345,137.07,0.516,0.137725,1613,51.12,0.2621,0.203829
215x105PN,2505,136.51,0.4848,0.137246,1746,50.16,0.2493,0.193799
22x10,2586,135.92,0.4711,0.136649,1814,49.51,0.2435,0.189736
21x10PN,2585,138.22,0.4804,0.134716,1813,50.04,0.2471,0.188542
215x13EPN,2413,141.49,0.518,0.133507,1668,52.1,0.2632,0.197411
21x10W,2551,139.91,0.4892,0.133443,1784,50.92,0.2512,0.190938
21x105PN,2608,138.83,0.4789,0.133425,1832,50.42,0.2465,0.184537
21x12WE,2479,141.58,0.5066,0.133059,1724,51.63,0.2573,0.19429
22x8,2797,134.67,0.4442,0.132996,1990,48.07,0.2312,0.175873
205x105WPN,2592,141.64,0.4902,0.131645,1818,50.91,0.2515,0.185403
21x13WE,2425,143.77,0.5238,0.131526,1678,52.71,0.2657,0.194239
205x12WE,2493,144.43,0.5138,0.130642,1735,52.29,0.2606,0.190747
205x105PN,2677,141.25,0.4787,0.130078,1889,50.55,0.2463,0.179614
21x13E,2518,144.82,0.5114,0.129968,1755,52.36,0.26,0.187015
21x135EPN,2483,146.1,0.5223,0.129324,1726,52.84,0.2653,0.191179
205x10PN,2726,140.95,0.471,0.129008,1930,50.46,0.2426,0.174255
20x10W,2775,143.52,0.4767,0.125645,1969,50.85,0.245,0.168313
20x12WE,2712,146.79,0.4934,0.124679,1916,51.9,0.251,0.171754
20x10PN,2854,142.11,0.4639,0.124589,2021,50.8,0.2389,0.167668
205x135EPN,2600,149.38,0.5158,0.124573,1823,53.67,0.2622,0.177563
20x8E,3211,143.23,0.4126,0.123883,2241,53,0.2109,0.173904
205x14E,2618,151.21,0.5195,0.123087,1838,53.85,0.2641,0.174813
20x105PN,2877,142.75,0.4648,0.12307,2032,52.01,0.2393,0.164756
205x14EPN,2620,151.06,0.5185,0.123019,1840,53.97,0.2637,0.174187
20x11E,2900,143.64,0.4647,0.121899,2043,51.66,0.2369,0.167182
20x10E,3001,140.55,0.4477,0.121026,2094,52.38,0.2281,0.16866
20x8W,3030,141.99,0.4433,0.120769,2115,53.35,0.2284,0.166598
20x8,3280,147.63,0.4144,0.120662,2290,55.18,0.2143,0.167386
20x13E,2760,150.48,0.4995,0.120346,1956,53.11,0.2544,0.163102
20x10,3084,145.79,0.4431,0.119119,2152,54.75,0.2285,0.164128
19x8E,3464,150.74,0.3994,0.119097,2417,55.84,0.2038,0.166043
20x15(WCAR-T6),2640,157.76,0.5389,0.117517,1856,56.19,0.2753,0.163475
19x8W,3281,152.1,0.4261,0.117214,2290,56.6,0.2191,0.163515
19x10E,3222,151.69,0.4346,0.117192,2247,55.9,0.2211,0.165263
20x15E,2678,158.05,0.5345,0.11665,1887,55.87,0.2716,0.162835
20x12,2973,147.19,0.4697,0.116393,2079,54.45,0.2418,0.161222
19x11,3061,150.85,0.4639,0.114588,2136,56.34,0.2378,0.159051
