# Propeller performance at 17 N required thrust
# Also evaluated at 8 N target thrust
# All units in SI (N, W, Nm, N/W)
# ------------------------------------------------------------

     Propeller  RPM at 17 N  Power at 17 N (W)  Torque at 17 N (Nm)  Efficiency at 17 N (N/W)  RPM at 8 N  Power at 8 N (W)  Torque at 8 N (Nm)  Efficiency at 8 N (N/W)
        27x13E         1596           114.2600               0.5915                    0.1887        1127           42.5600              0.3018                   0.2467
        26x15E         1636           119.9900               0.6124                    0.1763        1147           45.5100              0.3116                   0.2341
        26x13E         1723           115.6600               0.5785                    0.1753        1190           45.2400              0.2942                   0.2413
       28x20-4         1000           107.3800               1.0277                    0.1659        1000          107.3800              1.0277                   0.1659
       25x125E         1892           115.6400               0.5594                    0.1583        1273           47.3300              0.2837                   0.2345
        24x12E         2070           120.4300               0.5362                    0.1472        1385           48.6500              0.2717                   0.2265
        22x10E         2516           133.8900               0.4733                    0.1401        1755           48.7700              0.2415                   0.2020
        22x12E         2369           136.1400               0.5077                    0.1390        1633           50.3100              0.2580                   0.2086
       22x12WE         2213           134.3500               0.5394                    0.1385        1503           51.3900              0.2729                   0.2133
     215x10WPN         2507           136.0800               0.4833                    0.1380        1748           49.7000              0.2487                   0.1947
      22x13EPN         2345           137.0700               0.5160                    0.1377        1613           51.1200              0.2621                   0.2038
     215x105PN         2505           136.5100               0.4848                    0.1372        1746           50.1600              0.2493                   0.1938
         22x10         2586           135.9200               0.4711                    0.1366        1814           49.5100              0.2435                   0.1897
       21x10PN         2585           138.2200               0.4804                    0.1347        1813           50.0400              0.2471                   0.1885
     215x13EPN         2413           141.4900               0.5180                    0.1335        1668           52.1000              0.2632                   0.1974
        21x10W         2551           139.9100               0.4892                    0.1334        1784           50.9200              0.2512                   0.1909
      21x105PN         2608           138.8300               0.4789                    0.1334        1832           50.4200              0.2465                   0.1845
       21x12WE         2479           141.5800               0.5066                    0.1331        1724           51.6300              0.2573                   0.1943
          22x8         2797           134.6700               0.4442                    0.1330        1990           48.0700              0.2312                   0.1759
    205x105WPN         2592           141.6400               0.4902                    0.1316        1818           50.9100              0.2515                   0.1854
       21x13WE         2425           143.7700               0.5238                    0.1315        1678           52.7100              0.2657                   0.1942
      205x12WE         2493           144.4300               0.5138                    0.1306        1735           52.2900              0.2606                   0.1907
     205x105PN         2677           141.2500               0.4787                    0.1301        1889           50.5500              0.2463                   0.1796
        21x13E         2518           144.8200               0.5114                    0.1300        1755           52.3600              0.2600                   0.1870
     21x135EPN         2483           146.1000               0.5223                    0.1293        1726           52.8400              0.2653                   0.1912
      205x10PN         2726           140.9500               0.4710                    0.1290        1930           50.4600              0.2426                   0.1743
        20x10W         2775           143.5200               0.4767                    0.1256        1969           50.8500              0.2450                   0.1683
       20x12WE         2712           146.7900               0.4934                    0.1247        1916           51.9000              0.2510                   0.1718
       20x10PN         2854           142.1100               0.4639                    0.1246        2021           50.8000              0.2389                   0.1677
    205x135EPN         2600           149.3800               0.5158                    0.1246        1823           53.6700              0.2622                   0.1776
         20x8E         3211           143.2300               0.4126                    0.1239        2241           53.0000              0.2109                   0.1739
       205x14E         2618           151.2100               0.5195                    0.1231        1838           53.8500              0.2641                   0.1748
      20x105PN         2877           142.7500               0.4648                    0.1231        2032           52.0100              0.2393                   0.1648
     205x14EPN         2620           151.0600               0.5185                    0.1230        1840           53.9700              0.2637                   0.1742
        20x11E         2900           143.6400               0.4647                    0.1219        2043           51.6600              0.2369                   0.1672
        20x10E         3001           140.5500               0.4477                    0.1210        2094           52.3800              0.2281                   0.1687
         20x8W         3030           141.9900               0.4433                    0.1208        2115           53.3500              0.2284                   0.1666
          20x8         3280           147.6300               0.4144                    0.1207        2290           55.1800              0.2143                   0.1674
        20x13E         2760           150.4800               0.4995                    0.1203        1956           53.1100              0.2544                   0.1631
         20x10         3084           145.7900               0.4431                    0.1191        2152           54.7500              0.2285                   0.1641
         19x8E         3464           150.7400               0.3994                    0.1191        2417           55.8400              0.2038                   0.1660
20x15(WCAR-T6)         2640           157.7600               0.5389                    0.1175        1856           56.1900              0.2753                   0.1635
         19x8W         3281           152.1000               0.4261                    0.1172        2290           56.6000              0.2191                   0.1635
        19x10E         3222           151.6900               0.4346                    0.1172        2247           55.9000              0.2211                   0.1653
        20x15E         2678           158.0500               0.5345                    0.1167        1887           55.8700              0.2716                   0.1628
         20x12         2973           147.1900               0.4697                    0.1164        2079           54.4500              0.2418                   0.1612
         19x11         3061           150.8500               0.4639                    0.1146        2136           56.3400              0.2378                   0.1591
  20x18(F1-GT)         2586           163.7600               0.5670                    0.1141        1811           58.5600              0.2874                   0.1647
         20x14         2895           153.6600               0.4983                    0.1138        2040           56.0200              0.2563                   0.1536
       19x12WE         2983           151.0700               0.4821                    0.1131        2083           55.1800              0.2448                   0.1600
        181x10         3280           158.2700               0.4439                    0.1127        2288           58.8100              0.2272                   0.1572
        19x12E         3084           154.3700               0.4704                    0.1127        2150           57.0200              0.2390                   0.1584
       18x55MR         3952           152.3200               0.3660                    0.1125        2756           55.8500              0.1865                   0.1597
        20x15C         2848           157.6100               0.5154                    0.1124        2016           56.4500              0.2649                   0.1504
         18x8W         3588           159.5500               0.4106                    0.1117        2503           59.5100              0.2108                   0.1548
         18x8E         3801           156.7900               0.3863                    0.1117        2651           57.6300              0.1969                   0.1588
        18x10E         3526           161.3800               0.4213                    0.1112        2458           59.1900              0.2142                   0.1574
        181x12         3181           161.9500               0.4718                    0.1092        2218           60.0000              0.2411                   0.1528
         18x10         3704           163.3400               0.4108                    0.1082        2583           60.8000              0.2114                   0.1502
       18x12WE         3255           165.7200               0.4683                    0.1076        2269           61.1700              0.2375                   0.1513
          18x8         3956           160.0000               0.3838                    0.1070        2760           59.8200              0.1981                   0.1489
         18x6W         4046           160.2200               0.3763                    0.1069        2834           59.4800              0.1950                   0.1475
        18x12E         3373           168.2600               0.4572                    0.1067        2351           61.8500              0.2321                   0.1511
       17x10WE         3632           168.5800               0.4294                    0.1057        2532           62.0700              0.2176                   0.1490
         17x7E         4385           167.3600               0.3558                    0.1050        3098           59.8300              0.1819                   0.1439
         17x10         3670           169.7800               0.4290                    0.1045        2559           62.6600              0.2193                   0.1477
         18x12         3585           170.6700               0.4388                    0.1044        2498           63.2900              0.2254                   0.1468
         17x8E         4191           167.0200               0.3735                    0.1043        2963           59.5800              0.1905                   0.1426
          17x8         3972           164.4700               0.3939                    0.1038        2771           60.9200              0.2021                   0.1462
         17x6E         4656           168.3300               0.3385                    0.1037        3272           61.7500              0.1735                   0.1426
  205x205E(CD)         2399           183.1400               0.6733                    0.1036        1656           66.9900              0.3398                   0.1544
          17x6         4386           169.4000               0.3598                    0.1035        3100           61.5500              0.1862                   0.1398
         17x8N         4177           169.0400               0.3795                    0.1028        2951           61.2800              0.1957                   0.1388
        17x12W         3415           175.6400               0.4723                    0.1022        2380           64.8700              0.2406                   0.1434
       16x55MR         4747           170.3200               0.3377                    0.1021        3328           62.1200              0.1715                   0.1426
        17x10E         3932           169.2200               0.4088                    0.1016        2740           62.3500              0.2076                   0.1443
        17x10N         3932           170.6700               0.4121                    0.1007        2741           63.1400              0.2114                   0.1417
          16x7         4570           176.4300               0.3613                    0.0994        3217           64.7900              0.1858                   0.1349
         16x8E         4600           176.9000               0.3598                    0.0991        3234           64.2400              0.1833                   0.1366
     16x7E(3D)         4800           174.7100               0.3432                    0.0991        3363           64.1200              0.1750                   0.1383
          16x8         4338           177.0800               0.3809                    0.0990        3067           63.3600              0.1955                   0.1350
         17x13         3468           181.4300               0.4803                    0.0990        2417           66.6700              0.2447                   0.1400
         18x14         3532           181.2300               0.4725                    0.0988        2460           66.7900              0.2420                   0.1394
         16x6E         5111           174.6500               0.3244                    0.0983        3579           64.1900              0.1659                   0.1373
         17x4W         4768           176.6100               0.3488                    0.0981        3346           66.4000              0.1820                   0.1324
          16x6         4839           176.2900               0.3450                    0.0979        3389           65.8100              0.1779                   0.1339
        17x12E         3775           179.5300               0.4447                    0.0978        2630           65.8800              0.2256                   0.1396
       15x55MR         5220           179.7900               0.3251                    0.0963        3663           64.9900              0.1646                   0.1354
         16x10         4095           179.4300               0.4138                    0.0961        2874           65.4300              0.2116                   0.1327
        16x10E         4326           183.5400               0.3957                    0.0956        3057           65.0300              0.2011                   0.1313
      155x12-4         3339           188.0600               0.5180                    0.0953        2328           69.6700              0.2652                   0.1331
         16x4W         5244           185.0800               0.3327                    0.0934        3688           68.8700              0.1732                   0.1267
         15x6E         5648           186.5300               0.3110                    0.0929        4002           66.5000              0.1590                   0.1264
         15x7E         5348           187.0500               0.3290                    0.0928        3765           67.7800              0.1676                   0.1283
         16x4E         6007           184.2300               0.2924                    0.0923        4224           68.2200              0.1515                   0.1262
  20x225EP(CD)         2452           205.6800               0.7418                    0.0922        1699           74.4700              0.3734                   0.1359
          15x6         5319           188.1500               0.3323                    0.0922        3745           68.9400              0.1711                   0.1261
          15x7         5058           185.6300               0.3492                    0.0921        3537           68.7100              0.1791                   0.1287
          15x8         4839           187.9100               0.3670                    0.0919        3387           69.3400              0.1878                   0.1274
         16x12         3954           186.6700               0.4490                    0.0918        2754           68.7000              0.2289                   0.1304
         15x8E         5139           188.5900               0.3470                    0.0913        3599           68.7100              0.1765                   0.1279
       14x47SF         5403           190.9400               0.3322                    0.0912        3806           67.5300              0.1656                   0.1284
         15x10         4589           194.6000               0.3964                    0.0900        3226           70.6200              0.2025                   0.1243
        16x12E         4193           193.7000               0.4333                    0.0899        2960           68.8900              0.2200                   0.1234
         16x13         3911           192.5500               0.4653                    0.0896        2724           70.5900              0.2369                   0.1276
       14x55MR         5893           192.3400               0.3103                    0.0891        4147           69.4200              0.1571                   0.1233
         15x4E         6627           194.6300               0.2777                    0.0886        4674           71.4200              0.1435                   0.1204
         15x4W         5885           194.7100               0.3141                    0.0880        4150           71.9000              0.1634                   0.1189
         15x11         4510           199.6800               0.4134                    0.0880        3174           72.2800              0.2109                   0.1206
        15x10E         4863           197.1500               0.3834                    0.0874        3399           72.0100              0.1945                   0.1233
         16x14         3874           198.7900               0.4836                    0.0872        2698           73.1100              0.2459                   0.1239
         14x6E         6305           199.0900               0.2985                    0.0866        4435           72.2600              0.1521                   0.1202
          14x7         5628           200.5400               0.3362                    0.0865        3986           71.7600              0.1724                   0.1173
          14x6         5938           199.1300               0.3188                    0.0857        4178           72.8900              0.1638                   0.1178
         14x7E         6007           199.2400               0.3167                    0.0854        4219           72.6600              0.1610                   0.1186
         15x12         4452           205.8300               0.4309                    0.0853        3136           73.9500              0.2197                   0.1173
      15x135-3         3891           203.0300               0.4933                    0.0851        2710           75.1500              0.2517                   0.1200
          14x8         5389           204.4500               0.3566                    0.0850        3795           73.9100              0.1822                   0.1169
       13x47SF         6117           204.1800               0.3166                    0.0839        4297           72.6200              0.1575                   0.1195
         14x4W         6567           206.9700               0.2977                    0.0833        4631           76.2700              0.1543                   0.1132
        14x85E         5731           207.8800               0.3427                    0.0831        4047           73.9500              0.1741                   0.1145
   13x55MRF-RH         6616           207.5600               0.2967                    0.0831        4658           74.7200              0.1501                   0.1157
         14x5N         7128           206.6300               0.2754                    0.0827        5047           76.2300              0.1432                   0.1107
       13x55MR         6680           209.2200               0.2960                    0.0824        4704           74.8900              0.1497                   0.1150
       13x45MR         7218           208.8500               0.2749                    0.0822        5098           75.0200              0.1395                   0.1130
         16x16         3853           213.2100               0.5203                    0.0816        2682           77.9000              0.2641                   0.1167
         14x10         5174           212.8500               0.3880                    0.0810        3623           77.3900              0.1978                   0.1137
        14x10F         5229           214.4700               0.3869                    0.0807        3665           77.2500              0.1957                   0.1137
        13x55E         7098           211.8100               0.2842                    0.0807        5017           76.2300              0.1447                   0.1104
        14x10E         5494           217.1500               0.3717                    0.0801        3873           77.5000              0.1884                   0.1106
         13x7F         6455           215.9600               0.3163                    0.0800        4540           78.0100              0.1603                   0.1111
        13x65E         6843           214.5200               0.2982                    0.0798        4822           77.1200              0.1515                   0.1107
