Propeller,FT,RPM@35N,Thrust@35N (N),Power@35N (W),Torque@35N (Nm),Cp@35N,Ct@35N,FOM@35N,Eff@35N (N/W),RPM@14N,Thrust@14N (N),Power@14N (W),Torque@14N (Nm),Cp@14N,Ct@14N,FOM@14N,Eff@14N (N/W)
181x10,7.995853737,4709,35,445.426,0.8885,0.03569,0.1027,0.73593,0.080599,3007,14,116.653,0.3694,0.03669,0.1017,0.70614,0.120265
181x12,7.48752403,4556,35,461.127,0.9451,0.04048,0.10943,0.71423,0.078392,2894,14,120.972,0.3921,0.04168,0.10856,0.68573,0.119223
18x10,7.184232751,5311,35,461.993,0.8179,0.02657,0.08269,0.71373,0.077326,3356,14,124.575,0.3418,0.02762,0.08184,0.67755,0.118324
18x10E,7.583527953,5081,35,454.044,0.8475,0.0302,0.09076,0.72273,0.077723,3209,14,121.151,0.3497,0.0309,0.08988,0.69555,0.120744
18x12,6.688017209,5164,35,478.252,0.8757,0.03017,0.08777,0.68664,0.074234,3257,14,129.295,0.3651,0.03129,0.08708,0.65465,0.113296
18x12E,7.089076765,4862,35,473.313,0.9209,0.03584,0.09894,0.69362,0.074993,3082,14,124.9,0.3795,0.03665,0.09823,0.67032,0.114539
18x12WE,7.353736132,4675,35,470.555,0.9439,0.0395,0.1065,0.70175,0.076495,2980,14,122.061,0.3886,0.04033,0.10569,0.67954,0.115397
18x14,5.981971061,5100,35,509.013,0.9462,0.03348,0.09012,0.6447,0.069429,3212,14,136.423,0.3929,0.03471,0.08964,0.61782,0.10708
18x55MR,8.116444099,5624,35,438.314,0.7339,0.02124,0.07377,0.75149,0.08152,3560,14,117.208,0.3036,0.02178,0.07277,0.7202,0.125829
18x6W,7.280799943,5754,35,453.788,0.7455,0.02065,0.07063,0.72381,0.078273,3650,14,123.34,0.3134,0.02144,0.06936,0.67985,0.118307
18x8,7.290603468,5625,35,455.361,0.762,0.02208,0.07374,0.72337,0.078401,3564,14,123.705,0.3193,0.02291,0.07263,0.68278,0.118639
18x8E,7.770025906,5432,35,448.039,0.7749,0.02406,0.079,0.73675,0.079942,3436,14,119.972,0.3206,0.02464,0.07797,0.70572,0.123223
18x8W,7.6266263,5156,35,447.042,0.8198,0.02838,0.08802,0.73502,0.079372,3261,14,120.934,0.3416,0.02922,0.08683,0.69825,0.121189
19x10E,8.23520953,4617,35,431.129,0.8733,0.02858,0.08787,0.7274,0.083703,2942,14,112.337,0.3609,0.02926,0.08698,0.70037,0.126823
19x11,7.883608093,4362,35,433.332,0.9265,0.03389,0.09825,0.72507,0.083475,2756,14,115.933,0.3853,0.03507,0.0974,0.69193,0.128352
19x12E,7.619540691,4401,35,446.669,0.9458,0.03402,0.09654,0.70401,0.081096,2781,14,117.666,0.39,0.03484,0.09581,0.67875,0.126124
19x12WE,7.715890555,4248,35,440.74,0.9703,0.03755,0.10385,0.71148,0.081742,2669,14,117.621,0.3993,0.03846,0.10307,0.68707,0.129473
19x8E,8.263655436,4998,35,418.683,0.8006,0.0226,0.0758,0.73797,0.083613,3159,14,112.879,0.3319,0.02314,0.07488,0.70618,0.128561
19x8W,8.207692621,4706,35,425.485,0.8493,0.02679,0.08469,0.734,0.084352,3009,14,112.366,0.355,0.02759,0.08361,0.69821,0.124905
205x105PN,8.500153891,3871,35,392.287,0.9558,0.03056,0.09261,0.73628,0.091048,2418,14,108.59,0.3979,0.03176,0.09171,0.69879,0.143004
205x105WPN,8.589728712,3747,35,394.164,0.9802,0.03323,0.09822,0.73819,0.092063,2348,14,108.125,0.4075,0.03445,0.09731,0.70313,0.14378
205x10PN,8.483623911,3943,35,390.233,0.9398,0.02903,0.08966,0.73679,0.090532,2459,14,108.772,0.3915,0.03025,0.08873,0.6986,0.142325
205x12WE,8.465691755,3606,35,404.578,1.0353,0.03776,0.10552,0.72448,0.090969,2267,14,109.199,0.4261,0.03866,0.10473,0.69986,0.141591
205x135EPN,7.743825434,3763,35,418.289,1.0381,0.03492,0.09738,0.69469,0.086685,2354,14,114.14,0.4278,0.03595,0.09681,0.66915,0.136102
205x14E,7.549437727,3790,35,423.241,1.0455,0.0347,0.0962,0.68506,0.085359,2369,14,115.499,0.4308,0.03573,0.09555,0.66012,0.13499
205x14EPN,7.554633493,3793,35,422.809,1.0433,0.0346,0.09602,0.68611,0.08542,2371,14,115.493,0.43,0.03563,0.09545,0.66054,0.134806
205x205E(CD),5.31607727,3475,35,515.655,1.3623,0.05081,0.1091,0.5658,0.071852,2189,14,136.819,0.558,0.05199,0.10876,0.55064,0.111526
20x10,8.058605173,4395,35,415.208,0.8802,0.02458,0.07884,0.71872,0.087114,2782,14,111.578,0.3687,0.02556,0.07801,0.68072,0.132414
20x105PN,8.23777508,4126,35,405.961,0.9268,0.02947,0.09,0.73076,0.087767,2583,14,111.093,0.3861,0.03064,0.08919,0.69283,0.137611
20x10E,8.396556712,4266,35,409.466,0.8975,0.02665,0.08386,0.72746,0.088064,2686,14,109.73,0.3711,0.02738,0.08301,0.69752,0.137585
20x10PN,8.375886787,4098,35,401.626,0.9256,0.02988,0.09138,0.73648,0.088433,2564,14,110.261,0.3854,0.03107,0.09048,0.69917,0.139616
20x10W,8.30474259,4010,35,400.392,0.9527,0.0323,0.09591,0.73414,0.087565,2498,14,110.932,0.3959,0.0335,0.09495,0.69745,0.139561
20x11E,8.189494747,4152,35,411.946,0.9332,0.02928,0.08879,0.72067,0.086776,2601,14,111.556,0.3852,0.03016,0.08804,0.69164,0.137695
20x12,7.67771184,4237,35,423.105,0.9343,0.02813,0.08502,0.70432,0.084987,2662,14,114.839,0.3902,0.02934,0.0844,0.6675,0.132031
20x12WE,8.076619421,3926,35,411.212,0.9933,0.03503,0.09966,0.71688,0.08619,2447,14,112.891,0.409,0.03595,0.09892,0.69027,0.137925
20x13E,7.635926945,3997,35,420.648,1.0053,0.0343,0.0966,0.69796,0.083246,2486,14,116.104,0.4141,0.03531,0.09589,0.67118,0.133694
20x14,7.107118343,4153,35,438.836,0.9938,0.03124,0.08876,0.67599,0.081423,2597,14,119.602,0.4139,0.03256,0.08828,0.64352,0.127708
20x15(WCAR-T6),7.069083208,3825,35,440.425,1.0809,0.03992,0.10443,0.67438,0.081622,2387,14,120.722,0.4474,0.04136,0.10392,0.64607,0.129118
20x15C,6.816266453,4101,35,447.126,1.0294,0.03317,0.09123,0.66211,0.079456,2558,14,122.318,0.428,0.03462,0.09081,0.6312,0.125653
20x15E,7.027485321,3880,35,443.062,1.0771,0.03876,0.10175,0.66844,0.080557,2419,14,121.196,0.4431,0.03984,0.10123,0.64479,0.12874
20x18(F1-GT),6.644822322,3747,35,459.869,1.144,0.04385,0.1084,0.64922,0.079004,2343,14,124.81,0.4699,0.04509,0.1079,0.62786,0.124699
20x225EP(CD),4.330784633,3554,35,581.15,1.5053,0.06382,0.11981,0.51832,0.063624,2232,14,154.499,0.614,0.0651,0.11955,0.50655,0.099778
20x8,8.237984097,4700,35,411.411,0.8216,0.02009,0.06912,0.7213,0.087242,3008,14,109.227,0.3459,0.0208,0.0682,0.68121,0.128459
20x8E,8.709984939,4595,35,405.765,0.8253,0.02108,0.07216,0.73392,0.088989,2930,14,106.435,0.3431,0.02166,0.07137,0.70183,0.13426
20x8W,8.319025442,4307,35,407.085,0.8817,0.02564,0.08215,0.73291,0.088673,2720,14,110.135,0.3685,0.02664,0.08116,0.69363,0.135866
215x105PN,8.892624604,3619,35,378.217,0.9663,0.02745,0.08623,0.73601,0.097045,2277,14,103.741,0.4035,0.0285,0.08544,0.69841,0.148341
215x10WPN,8.951362364,3622,35,377.343,0.9631,0.02729,0.08614,0.73807,0.097221,2278,14,103.258,0.4023,0.02839,0.08527,0.69975,0.149482
215x13EPN,8.489812578,3488,35,395.25,1.0417,0.0319,0.09299,0.70884,0.093634,2200,14,106.236,0.4301,0.03282,0.0923,0.68281,0.143534
21x105PN,8.657182051,3770,35,385.44,0.955,0.02841,0.08814,0.73518,0.093899,2362,14,106.393,0.3984,0.02957,0.08728,0.6973,0.145468
21x10PN,8.775981251,3736,35,384.272,0.9584,0.02901,0.08962,0.73945,0.094557,2342,14,105.606,0.3996,0.03009,0.08877,0.70164,0.146796
