# Interpolated propeller performance at 35 N (required) and 14 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@35N  Thrust@35N (N)  Power@35N (W)  Torque@35N (Nm)     Cp@35N     Ct@35N    FOM@35N  Eff@35N (N/W)  RPM@14N  Thrust@14N (N)  Power@14N (W)  Torque@14N (Nm)     Cp@14N     Ct@14N    FOM@14N  Eff@14N (N/W)
        27x13E     2342              35       315.1530           1.1880     0.0254     0.0812     0.7272         0.1237     1433              14        89.2530           0.4904     0.0265     0.0807     0.6923         0.2089
        26x13E     2498              35       326.4350           1.1606     0.0263     0.0831     0.7255         0.1190     1538              14        91.0930           0.4793     0.0274     0.0826     0.6918         0.1983
       25x125E     2705              35       333.5520           1.1206     0.0267     0.0839     0.7269         0.1132     1676              14        91.8100           0.4632     0.0277     0.0834     0.6942         0.1849
        26x15E     2393              35       333.7160           1.2314     0.0305     0.0904     0.7133         0.1170     1466              14        94.0090           0.5075     0.0317     0.0900     0.6815         0.1965
        24x12E     2983              35       336.7920           1.0750     0.0264     0.0835     0.7286         0.1045     1863              14        91.4040           0.4448     0.0273     0.0828     0.6972         0.1675
          22x8     4030              35       372.6220           0.8790     0.0183     0.0647     0.7186         0.0944     2517              14       104.3890           0.3699     0.0192     0.0639     0.6722         0.1476
        22x10E     3636              35       372.9170           0.9491     0.0239     0.0783     0.7304         0.0984     2286              14       101.7090           0.3931     0.0247     0.0776     0.6990         0.1518
         22x10     3737              35       375.2820           0.9357     0.0224     0.0744     0.7219         0.0967     2344              14       104.0140           0.3923     0.0235     0.0736     0.6807         0.1487
       22x12WE     3197              35       375.5310           1.0860     0.0354     0.1015     0.7276         0.0973     2036              14        97.6940           0.4480     0.0363     0.1008     0.7038         0.1467
     215x10WPN     3622              35       377.3430           0.9631     0.0273     0.0861     0.7381         0.0972     2278              14       103.2580           0.4023     0.0284     0.0853     0.6997         0.1495
     215x105PN     3619              35       378.2170           0.9663     0.0274     0.0862     0.7360         0.0970     2277              14       103.7410           0.4035     0.0285     0.0854     0.6984         0.1483
        22x12E     3424              35       380.5040           1.0201     0.0289     0.0880     0.7204         0.0973     2165              14       101.5700           0.4217     0.0297     0.0874     0.6931         0.1490
      22x13EPN     3389              35       382.6910           1.0367     0.0300     0.0898     0.7162         0.0967     2145              14       102.0260           0.4286     0.0309     0.0892     0.6895         0.1473
       21x10PN     3736              35       384.2720           0.9584     0.0290     0.0896     0.7395         0.0946     2342              14       105.6060           0.3996     0.0301     0.0888     0.7016         0.1468
      21x105PN     3770              35       385.4400           0.9550     0.0284     0.0881     0.7352         0.0939     2362              14       106.3930           0.3984     0.0296     0.0873     0.6973         0.1455
        21x10W     3686              35       388.0070           0.9772     0.0303     0.0919     0.7337         0.0941     2314              14       106.6930           0.4069     0.0314     0.0911     0.6981         0.1449
      205x10PN     3943              35       390.2330           0.9398     0.0290     0.0897     0.7368         0.0905     2459              14       108.7720           0.3915     0.0302     0.0887     0.6986         0.1423
     205x105PN     3871              35       392.2870           0.9558     0.0306     0.0926     0.7363         0.0910     2418              14       108.5900           0.3979     0.0318     0.0917     0.6988         0.1430
    205x105WPN     3747              35       394.1640           0.9802     0.0332     0.0982     0.7382         0.0921     2348              14       108.1250           0.4075     0.0345     0.0973     0.7031         0.1438
     215x13EPN     3488              35       395.2500           1.0417     0.0319     0.0930     0.7088         0.0936     2200              14       106.2360           0.4301     0.0328     0.0923     0.6828         0.1435
       21x12WE     3585              35       396.0240           1.0193     0.0333     0.0969     0.7228         0.0931     2255              14       107.0720           0.4203     0.0342     0.0961     0.6961         0.1438
