Propeller,MAX RPM,RPM@30N,Thrust@30N (N),Power@30N (W),Torque@30N (Nm),Cp@30N,Ct@30N,FOM@30N,Eff@30N (N/W),RPM@11N,Thrust@11N (N),Power@11N (W),Torque@11N (Nm),Cp@11N,Ct@11N,FOM@11N,Eff@11N (N/W)
14x47SF,6250,7219,30.5,451.664,0.5933,0.03684,0.10707,0.75966,0.068194,4348,11,100.995,0.2161,0.03667,0.10554,0.74674,0.112642
14x55MR,6250,7851,30.5,452.324,0.5481,0.0288,0.09063,0.75596,0.06783,4738,11,102.438,0.2037,0.0292,0.0892,0.72734,0.1098
155x12-4,5645.16129,4479,30.5,436.64,0.9098,0.08405,0.17765,0.71036,0.072108,2675,11,100.701,0.3423,0.08879,0.17863,0.67869,0.117943
15x10,5833.333333,6151,30.5,451.871,0.6966,0.04217,0.11189,0.70821,0.06814,3691,11,103.881,0.2616,0.04357,0.11078,0.6752,0.110314
15x10E,5833.333333,6488,30.5,464.679,0.676,0.03665,0.10034,0.69142,0.066744,3918,11,104.499,0.2521,0.03757,0.09938,0.66461,0.106707
15x11,5833.333333,6057,30.5,462.372,0.7268,0.04549,0.11563,0.6904,0.06624,3623,11,106.783,0.2725,0.04699,0.11465,0.65947,0.107805
15x4E,5833.333333,8811,30.5,447.713,0.4836,0.0143,0.05461,0.71292,0.068482,5346,11,104.631,0.1846,0.01473,0.0532,0.66422,0.107255
15x4W,5833.333333,7821,30.5,448.562,0.5452,0.02042,0.06929,0.71249,0.06843,4738,11,105.228,0.2095,0.02128,0.0677,0.65946,0.106697
15x55MR,5833.333333,6977,30.5,420,0.5741,0.0271,0.08729,0.7598,0.072714,4204,11,95.715,0.2134,0.02754,0.08596,0.73065,0.117785
15x6,5833.333333,7100,30.5,433.512,0.581,0.0264,0.08417,0.7361,0.07071,4285,11,101.34,0.2203,0.02733,0.08254,0.69269,0.111586
15x6E,5833.333333,7527,30.5,434.155,0.5463,0.02205,0.07462,0.73775,0.071129,4546,11,99.751,0.2052,0.02258,0.07326,0.70028,0.113787
15x7,5833.333333,6729,30.5,434.415,0.6116,0.03093,0.09341,0.73702,0.071055,4075,11,99.615,0.2311,0.03185,0.09184,0.69743,0.111626
15x7E,5833.333333,7145,30.5,435.311,0.5788,0.026,0.083,0.73416,0.070545,4306,11,100.186,0.2168,0.02658,0.08172,0.70059,0.113061
15x8,5833.333333,6450,30.5,439.76,0.6437,0.03536,0.10151,0.7295,0.070519,3901,11,100.008,0.2425,0.03641,0.10006,0.69363,0.11162
15x8E,5833.333333,6859,30.5,441.105,0.6111,0.02981,0.09012,0.72473,0.069648,4139,11,100.212,0.2285,0.03044,0.08886,0.69394,0.111898
16x10,5468.75,5458,30.5,421.767,0.726,0.04026,0.10927,0.71603,0.07398,3278,11,97.487,0.2731,0.04162,0.10814,0.68183,0.118269
16x10E,5468.75,5796,30.5,426.945,0.6972,0.03434,0.0972,0.70396,0.072414,3470,11,98.275,0.2602,0.03532,0.09624,0.67446,0.118331
16x12,5468.75,5272,30.5,441.918,0.7888,0.04692,0.11724,0.68245,0.070391,3167,11,100.943,0.296,0.04852,0.11645,0.653,0.113022
16x12E,5468.75,5608,30.5,455.172,0.7643,0.04018,0.10358,0.66225,0.068438,3358,11,104.249,0.2847,0.04131,0.10281,0.63738,0.111252
16x13,5468.75,5226,30.5,453.719,0.8182,0.04953,0.11939,0.66481,0.068419,3139,11,103.26,0.3066,0.05125,0.11874,0.63722,0.110071
16x14,5468.75,5186,30.5,467.424,0.8512,0.05234,0.12136,0.64412,0.066291,3114,11,106.369,0.3184,0.05416,0.12082,0.61872,0.106325
16x4E,5468.75,7979,30.5,424.326,0.5076,0.0133,0.05159,0.7047,0.07194,4837,11,99.716,0.1947,0.01377,0.05035,0.65324,0.111953
