# Interpolated propeller performance at 30 N (required) and 11 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@30N  Thrust@30N (N)  Power@30N (W)  Torque@30N (Nm)     Cp@30N     Ct@30N    FOM@30N  Eff@30N (N/W)  RPM@11N  Thrust@11N (N)  Power@11N (W)  Torque@11N (Nm)     Cp@11N     Ct@11N    FOM@11N  Eff@11N (N/W)
        27x13E     2197         30.5000       256.0560           1.0406     0.0255     0.0811     0.7237         0.1301     1269              11        64.2410           0.3894     0.0267     0.0806     0.6846         0.2292
        26x13E     2333         30.5000       268.5290           1.0161     0.0264     0.0830     0.7217         0.1263     1352              11        66.5300           0.3802     0.0277     0.0825     0.6829         0.2214
        26x15E     2241         30.5000       272.3450           1.0781     0.0306     0.0903     0.7100         0.1233     1295              11        68.0290           0.4025     0.0320     0.0899     0.6740         0.2166
       25x125E     2513         30.5000       277.3740           0.9807     0.0268     0.0838     0.7223         0.1219     1461              11        67.9840           0.3670     0.0281     0.0833     0.6836         0.2115
        24x12E     2755         30.5000       282.7010           0.9403     0.0266     0.0833     0.7229         0.1152     1607              11        68.5010           0.3521     0.0278     0.0827     0.6844         0.1991
       22x12WE     3009         30.5000       300.2610           0.9505     0.0355     0.1014     0.7251         0.1019     1762              11        71.6300           0.3545     0.0369     0.1007     0.6921         0.1795
        22x10E     3391         30.5000       307.0020           0.8309     0.0240     0.0781     0.7260         0.1050     2055              11        69.5240           0.3129     0.0249     0.0775     0.6925         0.1635
        22x12E     3207         30.5000       309.7150           0.8930     0.0289     0.0878     0.7171         0.1029     1932              11        69.4630           0.3351     0.0300     0.0873     0.6856         0.1666
          22x8     3744         30.5000       309.7200           0.7708     0.0184     0.0645     0.7113         0.1020     2237              11        74.1060           0.2957     0.0195     0.0638     0.6607         0.1622
         22x10     3480         30.5000       310.7090           0.8203     0.0226     0.0742     0.7160         0.1035     2101              11        72.1060           0.3136     0.0237     0.0735     0.6717         0.1607
      22x13EPN     3176         30.5000       310.7770           0.9075     0.0301     0.0897     0.7128         0.1021     1905              11        70.5290           0.3404     0.0312     0.0891     0.6813         0.1663
     215x10WPN     3380         30.5000       310.8490           0.8440     0.0274     0.0860     0.7330         0.1036     2049              11        70.4360           0.3214     0.0286     0.0851     0.6917         0.1609
     215x105PN     3377         30.5000       311.4420           0.8468     0.0276     0.0861     0.7309         0.1034     2048              11        70.9760           0.3222     0.0288     0.0853     0.6906         0.1594
       21x10PN     3479         30.5000       317.7490           0.8395     0.0291     0.0894     0.7340         0.1014     2099              11        72.9960           0.3188     0.0304     0.0887     0.6934         0.1589
      21x105PN     3509         30.5000       319.1300           0.8366     0.0285     0.0880     0.7297         0.1008     2115              11        73.9580           0.3178     0.0299     0.0872     0.6889         0.1575
        21x10W     3435         30.5000       320.3610           0.8560     0.0304     0.0917     0.7287         0.1006     2077              11        73.4710           0.3245     0.0317     0.0909     0.6905         0.1563
     215x13EPN     3263         30.5000       322.8430           0.9116     0.0320     0.0929     0.7057         0.0993     1979              11        71.7320           0.3420     0.0331     0.0922     0.6770         0.1558
       21x12WE     3347         30.5000       324.9740           0.8918     0.0334     0.0967     0.7192         0.0992     2031              11        72.5610           0.3341     0.0344     0.0960     0.6907         0.1546
      205x10PN     3659         30.5000       325.0400           0.8230     0.0292     0.0895     0.7308         0.0980     2191              11        76.5900           0.3120     0.0306     0.0886     0.6895         0.1556
     205x105PN     3596         30.5000       325.9230           0.8370     0.0307     0.0924     0.7305         0.0983     2159              11        75.9260           0.3172     0.0321     0.0916     0.6902         0.1559
    205x105WPN     3488         30.5000       326.0750           0.8583     0.0334     0.0980     0.7333         0.0988     2104              11        74.6100           0.3248     0.0348     0.0972     0.6953         0.1559
       21x13WE     3278         30.5000       328.9470           0.9229     0.0361     0.1010     0.7099         0.0976     1991              11        72.5330           0.3454     0.0371     0.1004     0.6826         0.1526
         20x8W     4045         30.5000       329.4970           0.7730     0.0257     0.0819     0.7287         0.0932     2396              11        79.7140           0.2934     0.0270     0.0810     0.6816         0.1523
        20x10E     4008         30.5000       329.8550           0.7858     0.0267     0.0837     0.7241         0.0926     2369              11        79.0070           0.2945     0.0277     0.0829     0.6890         0.1542
       20x10PN     3821         30.5000       330.0500           0.8107     0.0300     0.0912     0.7312         0.0949     2273              11        78.4090           0.3069     0.0314     0.0903     0.6893         0.1546
      20x105PN     3851         30.5000       332.3310           0.8119     0.0296     0.0898     0.7257         0.0939     2288              11        79.4410           0.3075     0.0310     0.0890     0.6828         0.1522
      205x12WE     3365         30.5000       332.3380           0.9056     0.0379     0.1054     0.7211         0.0970     2039              11        73.9660           0.3385     0.0389     0.1046     0.6949         0.1525
         20x8E     4295         30.5000       332.4280           0.7228     0.0211     0.0720     0.7294         0.0946     2561              11        77.8070           0.2723     0.0220     0.0712     0.6904         0.1555
        20x10W     3720         30.5000       333.2250           0.8340     0.0325     0.0957     0.7284         0.0952     2222              11        78.3390           0.3152     0.0338     0.0948     0.6883         0.1535
        21x13E     3396         30.5000       333.3290           0.9001     0.0327     0.0939     0.7019         0.0968     2055              11        74.7290           0.3373     0.0338     0.0933     0.6733         0.1523
        20x11E     3881         30.5000       335.6920           0.8167     0.0294     0.0886     0.7170         0.0926     2303              11        79.4690           0.3058     0.0304     0.0879     0.6839         0.1535
     21x135EPN     3352         30.5000       335.8080           0.9197     0.0344     0.0964     0.6959         0.0960     2032              11        74.4940           0.3444     0.0354     0.0958     0.6687         0.1509
         20x10     4121         30.5000       337.6620           0.7718     0.0247     0.0787     0.7140         0.0919     2445              11        81.1360           0.2936     0.0260     0.0779     0.6679         0.1494
          20x8     4387         30.5000       338.9100           0.7205     0.0202     0.0689     0.7154         0.0930     2625              11        80.1480           0.2755     0.0213     0.0680     0.6656         0.1491
       20x12WE     3643         30.5000       341.7520           0.8687     0.0351     0.0995     0.7127         0.0936     2181              11        78.9930           0.3247     0.0362     0.0988     0.6842         0.1512
         20x12     3976         30.5000       342.0840           0.8191     0.0282     0.0849     0.7005         0.0895     2350              11        82.4900           0.3107     0.0297     0.0843     0.6569         0.1477
    205x135EPN     3502         30.5000       345.7380           0.9081     0.0350     0.0973     0.6910         0.0933     2108              11        78.8990           0.3398     0.0362     0.0967     0.6635         0.1476
         19x8E     4646         30.5000       347.5010           0.7007     0.0227     0.0756     0.7327         0.0903     2792              11        79.8800           0.2637     0.0234     0.0747     0.6964         0.1451
     205x14EPN     3528         30.5000       349.9260           0.9126     0.0347     0.0959     0.6824         0.0920     2121              11        79.9300           0.3416     0.0359     0.0954     0.6548         0.1466
       205x14E     3525         30.5000       350.2940           0.9145     0.0348     0.0961     0.6814         0.0919     2120              11        79.7890           0.3421     0.0360     0.0954     0.6546         0.1469
         19x8W     4392         30.5000       350.3280           0.7441     0.0269     0.0845     0.7287         0.0900     2626              11        82.3460           0.2822     0.0281     0.0834     0.6841         0.1454
        20x13E     3706         30.5000       350.3870           0.8791     0.0345     0.0964     0.6936         0.0907     2212              11        81.7310           0.3287     0.0356     0.0958     0.6649         0.1470
         19x11     4091         30.5000       351.3300           0.8116     0.0340     0.0981     0.7213         0.0880     2424              11        84.0060           0.3063     0.0356     0.0973     0.6810         0.1448
        19x10E     4313         30.5000       353.2230           0.7642     0.0286     0.0877     0.7238         0.0891     2570              11        82.1010           0.2860     0.0296     0.0869     0.6899         0.1474
       19x12WE     3989         30.5000       354.9450           0.8489     0.0376     0.1037     0.7088         0.0861     2356              11        84.1710           0.3165     0.0388     0.1029     0.6795         0.1458
         20x14     3880         30.5000       357.8440           0.8706     0.0314     0.0887     0.6718         0.0869     2299              11        85.5390           0.3295     0.0330     0.0882     0.6343         0.1416
       18x55MR     5259         30.5000       358.5760           0.6423     0.0213     0.0736     0.7471         0.0867     3167              11        82.1000           0.2412     0.0219     0.0727     0.7124         0.1391
        19x12E     4124         30.5000       362.2990           0.8276     0.0341     0.0964     0.7012         0.0857     2444              11        85.1790           0.3091     0.0352     0.0957     0.6706         0.1434
